word,positive,negative
award,1,NA
awards,2,NA
bullying,NA,1
celebrate,1,NA
celebration,1,NA
cloud,NA,1
compact,1,NA
controversial,NA,2
crash,NA,1
distract,NA,1
evil,NA,1
exciting,1,NA
fear,NA,1
fried,NA,1
frustrating,NA,1
gold,3,NA
harassment,NA,1
hard,NA,1
heroic,1,NA
hot,1,NA
hung,NA,2
impressive,1,NA
improved,3,NA
improvements,2,NA
intelligence,1,NA
involuntary,NA,1
issues,NA,1
limited,NA,4
manipulation,NA,2
miss,NA,7
modest,2,NA
patience,2,NA
promised,1,NA
protect,1,NA
quiet,1,NA
safe,5,NA
smartest,2,NA
super,7,NA
survival,1,NA
threat,NA,1
top,1,NA
unleash,NA,1
virus,NA,1
win,1,NA
wise,1,NA
