word,positive,negative
awards,2,NA
bullying,NA,1
compact,1,NA
controversial,NA,2
crash,NA,1
distract,NA,1
elevate,1,NA
enhancement,1,NA
exciting,1,NA
expensive,NA,1
flawless,1,NA
free,1,NA
frustrating,NA,1
gold,2,NA
harassment,NA,1
hung,NA,2
improved,3,NA
improvements,2,NA
involuntary,NA,1
issues,NA,1
limited,NA,4
manipulation,NA,2
master,1,NA
miss,NA,4
modest,2,NA
patience,2,NA
promised,1,NA
protect,1,NA
quiet,1,NA
ready,1,NA
safe,5,NA
smooth,1,NA
super,7,NA
threat,NA,1
top,1,NA
transparent,1,NA
virus,NA,1
wise,1,NA
