word,positive,negative
abundance,2,NA
accurate,2,NA
achievement,4,NA
adverse,NA,5
affirmative,1,NA
aggressive,NA,1
alarming,NA,1
allegations,NA,1
anxiety,NA,6
anxious,NA,1
approval,1,NA
aversion,NA,1
beautiful,2,NA
beneficial,2,NA
benefit,4,NA
benefits,2,NA
bias,NA,2
blow,NA,2
bomb,NA,3
boost,5,NA
breakdown,NA,1
breakthrough,3,NA
bulky,NA,1
cancer,NA,19
cave,NA,2
challenging,NA,1
cheaper,1,NA
chronic,NA,2
clean,3,NA
cleaner,1,NA
clearer,1,NA
clogged,NA,1
coercive,NA,1
cold,NA,2
compatible,2,NA
comprehensive,1,NA
concerns,NA,2
confidence,1,NA
confusion,NA,2
conservative,NA,4
consistently,2,NA
conspiracies,NA,2
costly,NA,1
crashed,NA,1
creative,1,NA
crime,NA,1
criminal,NA,1
crisis,NA,4
critical,NA,2
damage,NA,4
damaging,NA,1
dark,NA,3
dead,NA,1
deadly,NA,1
death,NA,2
declines,NA,3
delay,NA,1
demon,NA,1
depressed,NA,1
depression,NA,5
destruction,NA,2
detrimental,NA,3
difficulty,NA,1
disaster,NA,1
disorder,NA,4
disordered,NA,2
disregard,NA,1
distress,NA,3
distressed,NA,1
disturbing,NA,1
dominate,1,NA
dominated,1,NA
doubt,NA,2
effective,5,NA
efficient,1,NA
efficiently,1,NA
emergency,NA,1
enemy,NA,1
enhancement,1,NA
enhances,1,NA
enjoyed,1,NA
enjoyment,1,NA
entanglement,NA,1
error,NA,1
evade,NA,1
exacerbate,NA,1
exaggerate,NA,1
exceedingly,1,NA
exceptional,1,NA
failing,NA,1
faith,2,NA
fall,NA,1
fallout,NA,4
false,NA,1
fast,1,NA
faster,2,NA
fastest,1,NA
fatigue,NA,1
favor,1,NA
fear,NA,1
fearful,NA,1
fell,NA,1
fever,NA,2
fine,1,NA
flare,NA,3
flexibility,2,NA
flexible,1,NA
fragile,NA,1
free,11,NA
fresh,1,NA
friction,NA,2
friendly,4,NA
fun,1,NA
gain,2,NA
gains,2,NA
genuine,1,NA
happier,1,NA
happiness,5,NA
hardship,NA,1
harm,NA,1
harmful,NA,1
harms,NA,1
hazard,NA,1
headache,NA,1
healthy,3,NA
hedge,NA,1
helping,1,NA
hesitant,NA,1
humiliating,NA,1
ignore,NA,1
illness,NA,1
imbalance,NA,2
improved,2,NA
improvement,1,NA
improves,1,NA
improving,2,NA
incorrect,NA,1
indifference,NA,1
ineffective,NA,1
inequality,NA,7
inevitable,NA,1
inexpensive,1,NA
infection,NA,5
infections,NA,4
inflammation,NA,1
ingenuity,1,NA
inhibit,NA,1
injury,NA,1
insecure,NA,1
insufficient,NA,2
intelligence,3,NA
intelligent,1,NA
interference,NA,1
intermittent,NA,4
intimate,1,NA
isolated,NA,1
isolation,NA,2
issues,NA,1
itch,NA,1
killing,NA,2
lack,NA,3
lead,2,NA
leading,1,NA
leads,1,NA
led,5,NA
lie,NA,1
loneliness,NA,2
lose,NA,1
loss,NA,1
lost,NA,2
love,1,NA
loved,1,NA
loyalty,1,NA
master,1,NA
miss,NA,13
modern,3,NA
morality,1,NA
negative,NA,4
noise,NA,1
outbreak,NA,5
pain,NA,4
parasite,NA,1
partisan,NA,1
passion,3,NA
passive,NA,1
playful,1,NA
poor,NA,1
positive,3,NA
powerful,1,NA
prefer,2,NA
progress,2,NA
promise,3,NA
promising,1,NA
protect,1,NA
protection,4,NA
protests,NA,1
pure,1,NA
radically,NA,1
rapid,2,NA
recommend,1,NA
recover,1,NA
recovery,1,NA
refuted,NA,1
regard,2,NA
restructuring,1,NA
rich,1,NA
risk,NA,17
risks,NA,3
rival,NA,1
rocky,NA,1
romantic,3,NA
safe,3,NA
satisfied,1,NA
scar,NA,1
selective,2,NA
severe,NA,5
severity,NA,4
significant,3,NA
skepticism,NA,1
slow,NA,3
slowly,NA,1
smell,NA,1
smoke,NA,3
solid,1,NA
stability,2,NA
stable,1,NA
stark,NA,1
startle,NA,1
static,NA,1
stress,NA,3
stressful,NA,1
striking,1,NA
stringent,NA,1
strong,2,NA
strongest,1,NA
sturdy,1,NA
success,1,NA
successful,1,NA
successfully,1,NA
suffer,NA,1
suffering,NA,1
suffers,NA,1
super,20,NA
support,4,NA
supported,1,NA
supporting,1,NA
suppress,NA,1
suspect,NA,1
swift,1,NA
symptoms,NA,7
syndrome,NA,4
tenderness,NA,1
thorny,NA,1
threat,NA,3
threaten,NA,1
threatening,NA,4
threats,NA,1
toxic,NA,2
transparent,1,NA
trump,2,NA
unequivocally,1,NA
unnecessary,NA,1
unrivaled,1,NA
variety,1,NA
violent,NA,1
virus,NA,4
volatile,NA,1
vulnerable,NA,3
warm,1,NA
warned,NA,1
warning,NA,1
waste,NA,5
weaken,NA,1
wild,NA,9
willingness,2,NA
worse,NA,1
wrath,NA,1
