word,positive,negative
accomplished,1,NA
adjustable,2,NA
advanced,3,NA
afraid,NA,2
aggressive,NA,1
amazing,3,NA
ambiguous,NA,1
annoyance,NA,1
annoyed,NA,1
annoying,NA,3
anxiety,NA,1
attack,NA,1
awful,NA,1
bad,NA,6
beautiful,2,NA
benefit,1,NA
blame,NA,1
blessing,1,NA
break,NA,1
broken,NA,2
bug,NA,1
burns,NA,1
celebrate,1,NA
cheapest,1,NA
cleanest,1,NA
cold,NA,1
competitive,1,NA
complain,NA,2
conflicting,NA,1
convincing,1,NA
cool,2,NA
crap,NA,1
crazy,NA,1
crime,NA,1
cunt,NA,1
cute,1,NA
danger,NA,1
dark,NA,4
dawn,1,NA
dead,NA,2
deaf,NA,1
death,NA,6
defeat,1,NA
dense,NA,2
destroyer,NA,1
die,NA,4
died,NA,2
dies,NA,1
difficulty,NA,1
diligent,2,NA
disagreement,NA,1
disgusting,NA,2
dislikes,NA,1
distort,NA,2
distraught,NA,1
distress,NA,1
drags,NA,1
drunk,NA,1
dumb,NA,2
dump,NA,2
dust,NA,1
dying,NA,1
easier,6,NA
easy,2,NA
efficient,1,NA
empathy,1,NA
enjoy,1,NA
enjoyed,1,NA
evil,NA,5
excuse,NA,1
facilitate,1,NA
failed,NA,1
falling,NA,5
fallout,NA,1
famous,1,NA
fancy,4,NA
fantastic,1,NA
fast,6,NA
faster,3,NA
fat,NA,2
favorite,2,NA
fear,NA,2
fearful,NA,1
fearless,1,NA
fell,NA,6
fiction,NA,1
fictional,NA,1
filthy,NA,1
flak,NA,2
free,7,NA
fresh,1,NA
frustrating,NA,1
fun,2,NA
funny,NA,2
futuristic,1,NA
gentle,1,NA
gold,3,NA
grotesque,NA,1
happily,1,NA
hard,NA,3
hate,NA,2
healthy,1,NA
helping,1,NA
hero,4,NA
holy,1,NA
hot,6,NA
hurt,NA,1
hurting,NA,1
idiot,NA,1
ignorant,NA,1
imaginary,NA,1
impossible,NA,1
impressive,2,NA
incredibly,4,NA
inefficient,NA,2
infested,NA,1
injustices,NA,1
insecure,NA,3
insignificant,NA,1
instantly,3,NA
insulting,NA,3
insults,NA,1
integrated,1,NA
intelligent,1,NA
invisible,NA,1
ironic,NA,1
irresponsible,NA,2
issues,NA,2
joke,NA,1
kill,NA,1
lazy,NA,2
lethal,NA,1
lie,NA,6
limited,NA,1
lonely,NA,1
loose,NA,1
lose,NA,2
loser,NA,1
loss,NA,2
lost,NA,3
loud,NA,2
love,7,NA
lucky,2,NA
magic,1,NA
mature,1,NA
maturity,2,NA
messed,NA,1
messing,NA,1
mighty,1,NA
miracle,1,NA
miss,NA,6
missed,NA,1
mistake,NA,2
modern,4,NA
monster,NA,1
motivated,4,NA
murder,NA,1
negative,NA,1
nice,6,NA
nicest,1,NA
noise,NA,2
object,NA,1
obsolete,NA,1
odd,NA,2
orphan,NA,1
pain,NA,27
painful,NA,1
painfully,NA,2
painless,4,NA
pale,NA,1
passive,NA,1
perfect,4,NA
poor,NA,1
positive,2,NA
powerful,5,NA
privilege,2,NA
prize,1,NA
protect,3,NA
ready,1,NA
regret,NA,1
relief,3,NA
remedy,1,NA
resistance,NA,3
respect,1,NA
revenge,NA,3
reward,6,NA
rich,1,NA
ridiculous,NA,2
risk,NA,1
rotten,NA,1
safe,2,NA
satisfying,2,NA
scandal,NA,1
scared,NA,3
scarier,NA,1
secure,2,NA
selfishness,NA,2
sensitive,2,NA
shit,NA,2
skill,1,NA
slow,NA,1
slower,NA,1
smart,3,NA
smell,NA,4
smells,NA,1
soft,1,NA
split,NA,1
splitting,NA,1
stall,NA,1
stimulate,1,NA
strong,2,NA
stuck,NA,1
stuttering,NA,1
successful,2,NA
successfully,1,NA
suck,NA,1
suffer,NA,1
suffers,NA,1
superior,1,NA
swipe,NA,1
tense,NA,2
terrible,NA,1
terribly,NA,1
threat,NA,2
tough,1,NA
toxic,NA,2
trash,NA,3
treacherous,NA,1
trick,NA,1
ugly,NA,2
uncomfortable,NA,1
underdog,NA,2
unknown,NA,1
unleash,NA,4
unlimited,1,NA
vain,NA,1
vice,NA,2
vomit,NA,2
warmer,1,NA
waste,NA,2
weak,NA,1
wedge,NA,1
weird,NA,5
wholesome,2,NA
wild,NA,1
win,4,NA
winner,1,NA
winning,1,NA
wise,1,NA
won,1,NA
worry,NA,3
worrying,NA,2
worse,NA,1
worth,2,NA
wrong,NA,3
