word,positive,negative
accurate,1,NA
addicted,NA,1
admirer,1,NA
advanced,4,NA
advantage,1,NA
alarm,NA,1
allergic,NA,1
allergy,NA,1
anger,NA,3
annoy,NA,2
annoyed,NA,1
annoying,NA,3
anxiety,NA,3
attack,NA,1
attractive,2,NA
awesome,2,NA
bad,NA,9
balanced,1,NA
beautiful,1,NA
bless,1,NA
blind,NA,1
blow,NA,2
blurry,NA,1
bomb,NA,1
boost,1,NA
break,NA,4
breaks,NA,2
bully,NA,2
burn,NA,1
burned,NA,3
cancer,NA,3
cheap,NA,1
cheating,NA,1
childish,NA,4
clean,7,NA
cold,NA,3
complain,NA,1
compliment,1,NA
conceited,NA,1
concerned,NA,1
confidence,1,NA
confident,2,NA
confused,NA,2
cool,4,NA
correct,1,NA
crazy,NA,3
creative,2,NA
crime,NA,1
crush,NA,1
cute,1,NA
damage,NA,1
damaged,NA,1
dark,NA,5
darker,NA,1
dead,NA,3
death,NA,6
denies,NA,2
deny,NA,1
desert,NA,1
desperately,NA,2
destroy,NA,2
dick,NA,2
die,NA,13
died,NA,2
dies,NA,4
dignify,1,NA
dirt,NA,1
dirty,NA,3
disaster,NA,2
discredit,NA,1
disgusted,NA,1
displace,NA,1
drunk,NA,3
dumb,NA,4
dying,NA,1
dynamic,4,NA
easiest,1,NA
easy,19,NA
effective,2,NA
efficient,2,NA
embarrassment,NA,1
empathy,4,NA
enhancement,2,NA
error,NA,1
exciting,1,NA
exhausted,NA,1
expensive,NA,6
extraordinary,4,NA
fail,NA,1
failed,NA,1
fails,NA,2
fake,NA,2
fall,NA,1
falling,NA,1
falls,NA,2
fantastic,1,NA
fast,1,NA
favorite,1,NA
fear,NA,1
fever,NA,1
fine,3,NA
flaw,NA,1
flawless,1,NA
flimsy,NA,1
free,4,NA
freedom,1,NA
freezing,NA,1
fresh,1,NA
frustrating,NA,1
fuck,NA,1
fun,11,NA
funny,NA,1
fury,NA,2
gain,2,NA
garbage,NA,2
grim,NA,1
guilty,NA,1
happy,19,NA
hard,NA,4
hassle,NA,19
hate,NA,1
hated,NA,1
hateful,NA,1
heaven,2,NA
hero,2,NA
hollow,NA,1
hooray,2,NA
horrible,NA,1
hot,1,NA
hug,1,NA
humility,1,NA
idiot,NA,1
ignorant,NA,1
illicit,NA,2
immature,NA,3
immense,1,NA
impossible,NA,2
impress,3,NA
impressed,1,NA
improve,1,NA
improved,1,NA
incorrect,NA,1
incorrectly,NA,2
insane,NA,3
instantly,1,NA
intelligence,2,NA
intense,NA,2
invasive,NA,2
invisible,NA,3
irony,NA,2
irritable,NA,1
irritating,NA,1
issues,NA,4
itch,NA,1
keen,1,NA
kill,NA,2
killer,NA,2
kills,NA,1
knock,NA,2
lead,1,NA
led,1,NA
likes,1,NA
limit,NA,2
limited,NA,1
limp,NA,1
logical,1,NA
loose,NA,1
lose,NA,2
loss,NA,2
lost,NA,1
loved,2,NA
lucrative,1,NA
lying,NA,1
magical,1,NA
master,1,NA
mediocre,NA,2
mess,NA,2
messes,NA,1
miracle,2,NA
miraculous,2,NA
miss,NA,2
modern,1,NA
monster,NA,2
mundane,NA,2
negate,NA,2
noise,NA,1
object,NA,1
obsolete,NA,1
pale,NA,1
patient,1,NA
peace,1,NA
perfect,1,NA
perfectly,4,NA
perseverance,1,NA
picky,NA,1
pleasant,1,NA
plot,NA,1
poison,NA,1
poor,NA,4
poorly,NA,1
popular,1,NA
positive,3,NA
pretty,3,NA
prison,NA,1
privilege,3,NA
profanity,NA,1
progress,2,NA
progressive,1,NA
proper,1,NA
qualify,1,NA
rage,NA,1
ready,4,NA
respectfully,1,NA
reward,1,NA
rich,5,NA
risk,NA,1
rough,NA,4
ruin,NA,1
sack,NA,1
sad,NA,4
safe,1,NA
sarcastic,NA,3
scared,NA,1
scarier,NA,1
scary,NA,1
seriousness,NA,2
severe,NA,1
shit,NA,9
shockingly,NA,1
shrug,NA,1
simplest,1,NA
skill,4,NA
smell,NA,2
smelled,NA,1
smiling,1,NA
stealing,NA,1
stereotype,NA,1
sting,NA,1
stolen,NA,1
strange,NA,3
stranger,NA,1
stress,NA,1
strong,1,NA
stronger,1,NA
stupid,NA,5
stupidity,NA,1
successful,1,NA
suffer,NA,1
suicidal,NA,1
super,7,NA
superiority,2,NA
support,2,NA
supports,1,NA
supreme,1,NA
syndrome,NA,2
taboo,NA,1
talent,1,NA
tank,NA,2
tanks,NA,1
terrible,NA,3
terribly,NA,1
thankful,1,NA
top,2,NA
tragic,NA,1
transparent,2,NA
trauma,NA,1
trouble,NA,1
trust,3,NA
trustworthy,2,NA
twists,NA,1
unacceptable,NA,2
uncomfortable,NA,2
underestimate,NA,1
unexpectedly,NA,1
unfortunate,NA,1
unnecessary,NA,1
unresolved,NA,1
upset,NA,1
vague,NA,1
violent,NA,1
warm,2,NA
weird,NA,5
win,4,NA
won,1,NA
worry,NA,2
worse,NA,2
wrong,NA,4
