word,negative,positive
abuse,2,NA
abused,1,NA
accusations,1,NA
accuses,3,NA
achievement,NA,1
advanced,NA,1
advantage,NA,2
affordable,NA,2
alarm,2,NA
anger,3,NA
anguish,1,NA
appeal,NA,2
assault,1,NA
attack,3,NA
attacks,2,NA
authoritarian,2,NA
awful,1,NA
begging,2,NA
blame,1,NA
boiling,1,NA
bomb,2,NA
bonus,NA,1
bonuses,NA,1
boycott,1,NA
breach,2,NA
breaking,1,NA
breaks,1,NA
bribery,1,NA
broken,2,NA
burn,1,NA
burns,1,NA
calm,NA,1
cancer,1,NA
celebrate,NA,2
celebration,NA,1
clash,4,NA
clean,NA,2
cold,1,NA
collapse,2,NA
comfort,NA,1
complaint,2,NA
compliant,NA,1
concerns,1,NA
conciliatory,NA,1
condemn,1,NA
condemns,1,NA
conflict,6,NA
confrontation,1,NA
confusion,1,NA
controversial,2,NA
controversy,2,NA
convenient,NA,6
cooperative,NA,1
corruption,3,NA
crime,3,NA
criminal,1,NA
crisis,4,NA
critic,2,NA
criticism,1,NA
crude,1,NA
crush,4,NA
crushed,2,NA
damages,1,NA
dead,8,NA
deadly,5,NA
death,7,NA
decline,2,NA
declines,1,NA
defamation,1,NA
delay,1,NA
delayed,1,NA
delaying,1,NA
delays,4,NA
deluge,1,NA
denies,1,NA
destruction,1,NA
devastating,2,NA
died,1,NA
dies,1,NA
diplomatic,NA,1
dire,1,NA
disappointing,1,NA
disappointment,1,NA
disaster,1,NA
discredit,1,NA
discrimination,1,NA
dispute,3,NA
disputed,1,NA
disruption,1,NA
dissent,1,NA
dissident,1,NA
distrust,2,NA
doomed,1,NA
doomsday,1,NA
drain,1,NA
drained,2,NA
drought,1,NA
drowning,1,NA
dying,2,NA
ease,NA,1
easy,NA,8
effective,NA,6
emergency,1,NA
epidemic,2,NA
evil,4,NA
excessive,1,NA
extremism,2,NA
extremist,1,NA
fails,1,NA
failure,1,NA
fake,1,NA
fall,1,NA
famine,1,NA
faster,NA,2
favorable,NA,1
fears,5,NA
fine,NA,1
flair,19,NA
flareup,1,NA
flee,2,NA
fraud,1,NA
free,NA,13
freedom,NA,1
freedoms,NA,1
fresh,NA,2
frustrated,1,NA
gains,NA,1
genocide,2,NA
grief,1,NA
guilty,2,NA
happy,NA,1
harassment,1,NA
harms,1,NA
hassle,1,NA
hate,1,NA
healthy,NA,1
heartbreaking,1,NA
helped,NA,1
hurt,3,NA
hurts,1,NA
ignore,1,NA
illegal,2,NA
impose,1,NA
imprisonment,1,NA
improve,NA,3
infected,1,NA
infection,1,NA
inflammation,1,NA
insecurity,1,NA
insurmountable,1,NA
integrated,NA,2
intelligence,NA,1
intuitive,NA,1
isolation,1,NA
issues,3,NA
killed,7,NA
killing,1,NA
kills,8,NA
lag,3,NA
lead,NA,1
leads,NA,1
led,NA,1
limit,1,NA
lonely,1,NA
lose,1,NA
losing,1,NA
majesty,NA,1
massacre,1,NA
mess,1,NA
mistrust,1,NA
murder,2,NA
mysterious,1,NA
nonsense,1,NA
opposition,1,NA
outbreak,2,NA
overtook,NA,1
overwhelm,1,NA
overwhelms,1,NA
peace,NA,2
peacekeepers,NA,1
pig,1,NA
poised,NA,1
poverty,1,NA
powerful,NA,2
praise,NA,1
precious,NA,1
premier,NA,1
prison,3,NA
problematic,1,NA
promises,NA,7
protect,NA,6
protection,NA,1
protest,4,NA
protests,3,NA
punishable,1,NA
qualify,NA,1
rape,2,NA
ready,NA,4
recession,2,NA
recovery,NA,4
reform,NA,1
reforms,NA,1
refuses,2,NA
relief,NA,2
renewed,NA,1
resignation,1,NA
restrict,4,NA
revenge,1,NA
revive,NA,2
risk,2,NA
risks,1,NA
rival,1,NA
robust,NA,3
ruining,1,NA
ruins,1,NA
sap,1,NA
savings,NA,1
scapegoat,1,NA
sensitive,NA,1
sharp,NA,1
shock,1,NA
shocking,1,NA
siege,3,NA
significant,NA,1
slow,1,NA
slowly,1,NA
stampede,9,NA
strain,4,NA
strike,6,NA
strong,NA,1
struggling,1,NA
stuck,1,NA
stumbled,1,NA
succeed,NA,1
successfully,NA,1
sucks,1,NA
sue,2,NA
sues,1,NA
suffered,1,NA
suffering,1,NA
suffers,1,NA
suicide,1,NA
super,NA,1
support,NA,5
supports,NA,2
surrender,1,NA
survival,NA,1
survivor,NA,1
sustainability,NA,1
tainted,1,NA
talent,NA,1
terrible,1,NA
threat,2,NA
threatening,1,NA
threats,1,NA
toll,2,NA
top,NA,2
tops,NA,2
torture,1,NA
tragedy,2,NA
treasure,NA,2
trump,NA,1
trust,NA,1
unconstitutional,2,NA
uncontrolled,1,NA
undermine,1,NA
unexplained,1,NA
unproven,2,NA
virus,9,NA
waste,1,NA
win,NA,2
worse,1,NA
worst,3,NA
wrong,1,NA
wrongful,1,NA
